X/C          CP            

0.999928      0.700949     
0.999659      0.601847     
0.999147      0.557226     
0.998404      0.518978     
0.997440      0.489299     
0.996259      0.462956     
0.994867      0.440685     
0.993267      0.420754     
0.991463      0.402533     
0.989458      0.385304     
0.987255      0.369733     
0.984857      0.355206     
0.982267      0.340720     
0.979488      0.327332     
0.976521      0.315132     
0.973371      0.302936     
0.970039      0.291025     
0.966528      0.279790     
0.962840      0.268947     
0.958979      0.258381     
0.954946      0.248202     
0.950743      0.238488     
0.946375      0.229054     
0.941842      0.219598     
0.937148      0.210265     
0.932296      0.201281     
0.927286      0.192760     
0.922123      0.184509     
0.916809      0.176321     
0.911346      0.168256     
0.905738      0.160316     
0.899985      0.152454     
0.894092      0.144974     
0.888061      0.137969     
0.881894      0.130884     
0.875594      0.123730     
0.869164      0.116925     
0.862607      0.110417    
0.855924      0.104040    
0.849119      0.097796    
0.842195      0.091768    
0.835154      0.086022    
0.827999      0.080507    
0.820733      0.075148    
0.813358      0.069915    
0.805878      0.064905    
0.798294      0.060250    
0.790610      0.055940    
0.782828      0.051890    
0.774952      0.048060    
0.766984      0.044644    
0.758927      0.041841    
0.750783      0.039390    
0.742556      0.037208    
0.734249      0.035597    
0.725863      0.034636    
0.717403      0.034230    
0.708870      0.034528    
0.700268      0.035705    
0.691599      0.038191    
0.682867      0.042792    
0.674074      0.047891    
0.665224      0.069937    
0.656318     -0.030693    
0.647359     -0.292239    
0.638352     -0.637680    
0.629298     -0.783132    
0.620201     -0.798925    
0.611063     -0.800609    
0.601888     -0.798002    
0.592677     -0.796791    
0.583435     -0.794653    
0.574163     -0.793118    
0.564866     -0.791016    
0.555545     -0.789237    
0.546204     -0.787160    
0.536846     -0.784804    
0.527474     -0.782359    
0.518090     -0.780107    
0.508698     -0.777637    
0.499300     -0.774881    
0.489900     -0.771951    
0.480500     -0.768859    
0.471105     -0.765605    
0.461715     -0.762336    
0.452335     -0.758978    
0.442968     -0.755315    
0.433616     -0.751424    
0.424283     -0.747422    
0.414971     -0.743220    
0.405685     -0.738758    
0.396425     -0.734106    
0.387197     -0.729384    
0.378003     -0.724574    
0.368846     -0.719392    
0.359728     -0.713817    
0.350654     -0.708106    
0.341627     -0.702233    
0.332648     -0.696071    
0.323722     -0.689697    
0.314852     -0.683107    
0.306041     -0.676163    
0.297291     -0.668945    
0.288606     -0.661591    
0.279990     -0.653996    
