X/C              CP        
                       
0.999928       0.695536     
0.999659       0.589502    
0.999147       0.542013     
0.998404       0.501220    
0.997440       0.469627     
0.996259       0.441573    
0.994867       0.417864    
0.993267       0.396646    
0.991463       0.377245    
0.989458       0.358895    
0.987255       0.342297    
0.984857       0.326812    
0.982267       0.311358    
0.979488       0.297060    
0.976521       0.284022    
0.973371       0.270973    
0.970039       0.258214    
0.966528       0.246165    
0.962840       0.234511    
0.958979       0.223140    
0.954946       0.212160    
0.950743       0.201653    
0.946375       0.191422    
0.941842       0.181136    
0.937148       0.170959    
0.932296       0.161122    
0.927286       0.151734    
0.922123       0.142602    
0.916809       0.133487    
0.911346       0.124463    
0.905738       0.115518    
0.899985       0.106596    
0.894092       0.098015    
0.888061       0.089873
0.881894       0.081571
0.875594       0.073105
0.869164       0.064922
0.862607       0.056950
0.855924       0.049005
0.849119       0.041073
0.842195       0.033234
0.835154       0.025551
0.827999       0.017943
0.820733       0.010318
0.813358       0.002621
0.805878      -0.005062
0.798294      -0.012609
0.790610      -0.020064
0.782828      -0.027546
0.774952      -0.035140
0.766984      -0.042656
0.758927      -0.049928
0.750783      -0.057277
0.742556      -0.064865
0.734249      -0.072425
0.725863      -0.079979
0.717403      -0.087648
0.708870      -0.095185
0.700268      -0.102589
0.691599      -0.110353
0.682867      -0.118329
0.674074      -0.126005
0.665224      -0.133532
0.656318      -0.141300
0.647359      -0.149466
0.638352      -0.157741
0.629298      -0.165696
0.620201      -0.173597
0.611063      -0.181783
0.601888      -0.190160
0.592677      -0.198632
0.583435      -0.207173
0.574163      -0.215655
0.564866      -0.224114
0.555545      -0.232899
0.546204      -0.241899
0.536846      -0.250640
0.527474      -0.259351
0.518090      -0.268466
0.508698      -0.277816
0.499300      -0.287221
0.489900      -0.296707
0.480500      -0.306221
0.471105      -0.315741
0.461715      -0.325445
0.452335      -0.335248
0.442968      -0.344799
0.433616      -0.354302
0.424283      -0.364544
0.414971      -0.376147
0.405685      -0.388835
0.396425      -0.401053
0.387197      -0.410158
0.378003      -0.413326
0.368846      -0.409553
0.359728      -0.402635
0.350654      -0.402697
0.341627      -0.423224
0.332648      -0.470737
0.323722      -0.532977
0.314852      -0.584900
0.306041      -0.611310
0.297291      -0.616798
0.288606      -0.613386
0.279990      -0.608459
0.271445      -0.604284
0.262974      -0.600783
0.254581      -0.597213
0.246268      -0.592998
0.238040      -0.587907
0.229898      -0.581909
0.221847      -0.575059
0.213889      -0.567615
0.206028      -0.559782
0.198265      -0.551497
0.190606      -0.542524
0.183052      -0.532636
0.175608      -0.521884
0.168275      -0.510506
0.161058      -0.498778
0.153958      -0.486688
0.146980      -0.474007
0.140126      -0.460557
0.133399      -0.446266
0.126803      -0.431156
0.120339      -0.415483
0.114012      -0.399355
0.107824      -0.382207
0.101778      -0.363972
0.095878      -0.345204
0.090125      -0.325581
0.084522      -0.304594
0.079073      -0.282437
0.073781      -0.259218
0.068647      -0.234737
0.063676      -0.208697
0.058869      -0.181184
0.054229      -0.152385
0.049759      -0.121419
0.045461      -0.087764
0.041339      -0.052323
0.037394      -0.014548
0.033630       0.026735
0.030049       0.071295
0.026653       0.119390
0.023445       0.171901
0.020428       0.229197
0.017604       0.291630
0.01497G       0.359786
0.012548       0.434533
0.010322       0.516215
0.008302       0.604307
0.006492       0.698210
0.004896       0.796683
0.003518       0.896317
0.002365       0.991353
0.001440       1.074011
0.000746       1.134930
0.000286       1.165145
0.000057       1.158677
0.000057       1.113896
0.000286       1.032548
0.000746       0.921179
0.001440       0.789970
0.002365       0.650177
0.003518       0.511502
0.004896       0.380675
0.006492       0.260187
0.008302       0.151333
0.010322       0.054037
0.012548      -0.032639
0.014976      -0.109217
0.017604      -0.176887
0.020428      -0.237387
0.023445      -0.291869
0.026653      -0.340886
0.030049      -0.384939
0.033630      -0.425222
0.037394      -0.462129
0.041339      -0.495297
0.045461      -0.526104
0.049759      -0.555474
0.054229      -0.582409
0.058869      -0.607108
0.063676      -0.630504
0.068647      -0.652620
0.073781      -0.673396
0.079073      -0.693117
0.084522      -0.712090
0.090125      -0.730222
0.095878      -0.747170
0.101778      -0.763349
0.107824      -0.779202
0.114012      -0.794244
0.120339      -0.808402
0.126803      -0.822173
0.133399      -0.835589
0.140126      -0.848498
0.146980      -0.860877
0.153958      -0.872707
0.161058      -0.884041
0.168275      -0.895072
0.175608      -0.905902
0.183052      -0.916426
0.190606      -0.926501
0.198265      -0.936059
0.206028      -0.945198
0.213889      -0.954089
0.221847      -0.962834
0.229898      -0.971337
0.238040      -0.979476
0.246268      -0.987291
0.254581      -0.994848
0.262974      -1.002164
0.271445      -1.009214
0.279990      -1.015944
0.288606      -1.022354
0.297291      -1.028554
0.306041      -1.034641
0.314852      -1.040504
0.323722      -1.046043
0.332648      -1.051395
0.341627      -1.056570
0.350654      -1.061487
0.359728      -1.066254
0.368846      -1.070919
0.378003      -1.075247
0.387197      -1.079231
0.396425      -1.083127
0.405685      -1.086976
0.414971      -1.090667
0.424283      -1.094124
0.433616      -1.097394
0.442968      -1.100572
0.452335      -1.103563
0.461715      -1.106275
0.471105      -1.108902
0.480500      -1.111522
0.489900      -1.114009
0.499300      -1.116346
0.508698      -1.118555
0.518090      -1.120480
