#    x/c      Cp
    1.009     1.13640
    1.005     0.41339
    0.995     0.29922
    0.978     0.22220
    0.956     0.15942
    0.929     0.10426
    0.897     0.05481
    0.860     0.00861
    0.820    -0.03521
    0.776    -0.07784
    0.729    -0.12001
    0.680    -0.16270
    0.630    -0.20699
    0.578    -0.25295
    0.525    -0.30170
    0.473    -0.35294
    0.421    -0.40664
    0.371    -0.46245
    0.322    -0.51824
    0.275    -0.57212
    0.230    -0.62026
    0.189    -0.65316
    0.151    -0.66042
    0.117    -0.63874
    0.086    -0.58233
    0.060    -0.49735
    0.039    -0.36596
    0.022    -0.16702
    0.010     0.19960
    0.002     0.77432
