#      x          Cp  
     1.00000    0.41448
     0.99168    0.23069
     0.98036    0.17534
     0.96726    0.12837
     0.95271    0.09120
     0.93719    0.05949
     0.92111    0.03191
     0.90473    0.00739
     0.88820   -0.01478
     0.87159   -0.03514
     0.85494   -0.05411
     0.83826   -0.07198
     0.82157   -0.08899
     0.80487   -0.10530
     0.78817   -0.12108
     0.77146   -0.13643
     0.75474   -0.15145
     0.73803   -0.16623
     0.72131   -0.18083
     0.70459   -0.19532
     0.68788   -0.20976
     0.67117   -0.22417
     0.65446   -0.23862
     0.63776   -0.25314
     0.62107   -0.26776
     0.60439   -0.28252
     0.58771   -0.29744
     0.57105   -0.31256
     0.55440   -0.32791
     0.53777   -0.34350
     0.52115   -0.35936
     0.50455   -0.37552
     0.48797   -0.39200
     0.47142   -0.40883
     0.45488   -0.42602
     0.43838   -0.44360
     0.42190   -0.46160
     0.40545   -0.48004
     0.38904   -0.49895
     0.37267   -0.51836
     0.35634   -0.53830
     0.34005   -0.55881
     0.32382   -0.57992
     0.30764   -0.60169
     0.29153   -0.62416
     0.27549   -0.64739
     0.25952   -0.67146
     0.24364   -0.69645
     0.22787   -0.72246
     0.21221   -0.74961
     0.19669   -0.77804
     0.18133   -0.80792
     0.16617   -0.83946
     0.15126   -0.87288
     0.13665   -0.90842
     0.12244   -0.94633
     0.10875   -0.98680
     0.09574   -1.02990
     0.08357   -1.07548
     0.07241   -1.12312
     0.06239   -1.17215
     0.05353   -1.22177
     0.04580   -1.27113
     0.03910   -1.31950
     0.03329   -1.36608
     0.02825   -1.41010
     0.02387   -1.45058
     0.02003   -1.48613
     0.01666   -1.51484
     0.01369   -1.53403
     0.01108   -1.53993
     0.00879   -1.52737
     0.00678   -1.48951
     0.00505   -1.41784
     0.00358   -1.30284
     0.00236   -1.13600
     0.00140   -0.91348
     0.00070   -0.64122
     0.00024   -0.33718
     0.00003   -0.03045
     0.00003    0.25052
     0.00024    0.50307
     0.00070    0.71274
     0.00140    0.86475
     0.00236    0.95689
     0.00358    0.99632
     0.00505    0.99498
     0.00678    0.96507
     0.00879    0.91673
     0.01108    0.85744
     0.01369    0.79235
     0.01666    0.72478
     0.02003    0.65684
     0.02387    0.58978
     0.02825    0.52434
     0.03329    0.46097
     0.03910    0.40000
     0.04580    0.34173
     0.05353    0.28656
     0.06239    0.23500
     0.07241    0.18763
     0.08357    0.14494
     0.09574    0.10724
     0.10875    0.07451
     0.12244    0.04647
     0.13665    0.02268
     0.15126    0.00263
     0.16617   -0.01418
     0.18133   -0.02821
     0.19669   -0.03985
     0.21221   -0.04943
     0.22787   -0.05725
     0.24364   -0.06353
     0.25952   -0.06848
     0.27549   -0.07228
     0.29153   -0.07507
     0.30764   -0.07697
     0.32382   -0.07810
     0.34005   -0.07855
     0.35634   -0.07841
     0.37267   -0.07774
     0.38904   -0.07660
     0.40545   -0.07506
     0.42190   -0.07315
     0.43838   -0.07092
     0.45488   -0.06841
     0.47142   -0.06565
     0.48797   -0.06266
     0.50455   -0.05947
     0.52115   -0.05609
     0.53777   -0.05255
     0.55440   -0.04884
     0.57105   -0.04499
     0.58771   -0.04100
     0.60439   -0.03687
     0.62107   -0.03260
     0.63776   -0.02818
     0.65446   -0.02361
     0.67117   -0.01888
     0.68788   -0.01398
     0.70459   -0.00887
     0.72131   -0.00355
     0.73803    0.00203
     0.75474    0.00790
     0.77146    0.01410
     0.78817    0.02070
     0.80487    0.02776
     0.82157    0.03537
     0.83826    0.04364
     0.85494    0.05273
     0.87159    0.06281
     0.88820    0.07415
     0.90473    0.08710
     0.92111    0.10213
     0.93719    0.11994
     0.95271    0.14154
     0.96726    0.16836
     0.98036    0.20436
     0.99168    0.24959
     1.00000    0.41448
