#      x          Cp  
     1.00000    0.41180
     0.99168    0.23431
     0.98036    0.18256
     0.96726    0.13956
     0.95271    0.10618
     0.93719    0.07820
     0.92111    0.05425
     0.90473    0.03328
     0.88820    0.01457
     0.87159   -0.00239
     0.85494   -0.01800
     0.83826   -0.03254
     0.82157   -0.04622
     0.80487   -0.05921
     0.78817   -0.07165
     0.77146   -0.08364
     0.75474   -0.09527
     0.73803   -0.10661
     0.72131   -0.11773
     0.70459   -0.12867
     0.68788   -0.13948
     0.67117   -0.15019
     0.65446   -0.16085
     0.63776   -0.17148
     0.62107   -0.18210
     0.60439   -0.19274
     0.58771   -0.20341
     0.57105   -0.21414
     0.55440   -0.22494
     0.53777   -0.23582
     0.52115   -0.24679
     0.50455   -0.25785
     0.48797   -0.26903
     0.47142   -0.28031
     0.45488   -0.29170
     0.43838   -0.30321
     0.42190   -0.31484
     0.40545   -0.32658
     0.38904   -0.33842
     0.37267   -0.35038
     0.35634   -0.36242
     0.34005   -0.37456
     0.32382   -0.38677
     0.30764   -0.39904
     0.29153   -0.41135
     0.27549   -0.42369
     0.25952   -0.43603
     0.24364   -0.44835
     0.22787   -0.46061
     0.21221   -0.47277
     0.19669   -0.48478
     0.18133   -0.49659
     0.16617   -0.50812
     0.15126   -0.51926
     0.13665   -0.52988
     0.12244   -0.53979
     0.10875   -0.54873
     0.09574   -0.55637
     0.08357   -0.56231
     0.07241   -0.56607
     0.06239   -0.56719
     0.05353   -0.56520
     0.04580   -0.55966
     0.03910   -0.55013
     0.03329   -0.53605
     0.02825   -0.51674
     0.02387   -0.49130
     0.02003   -0.45856
     0.01666   -0.41702
     0.01369   -0.36481
     0.01108   -0.29968
     0.00879   -0.21902
     0.00678   -0.12016
     0.00505   -0.00083
     0.00358    0.13973
     0.00236    0.29914
     0.00140    0.47005
     0.00070    0.63913
     0.00024    0.78925
     0.00003    0.90381
     0.00003    0.97427
     0.00024    0.99996
     0.00070    0.97865
     0.00140    0.91597
     0.00236    0.82396
     0.00358    0.71627
     0.00505    0.60422
     0.00678    0.49536
     0.00879    0.39386
     0.01108    0.30150
     0.01369    0.21856
     0.01666    0.14460
     0.02003    0.07882
     0.02387    0.02034
     0.02825   -0.03165
     0.03329   -0.07789
     0.03910   -0.11895
     0.04580   -0.15522
     0.05353   -0.18697
     0.06239   -0.21433
     0.07241   -0.23739
     0.08357   -0.25627
     0.09574   -0.27122
     0.10875   -0.28259
     0.12244   -0.29083
     0.13665   -0.29639
     0.15126   -0.29971
     0.16617   -0.30117
     0.18133   -0.30107
     0.19669   -0.29967
     0.21221   -0.29719
     0.22787   -0.29380
     0.24364   -0.28964
     0.25952   -0.28483
     0.27549   -0.27947
     0.29153   -0.27366
     0.30764   -0.26746
     0.32382   -0.26093
     0.34005   -0.25413
     0.35634   -0.24710
     0.37267   -0.23988
     0.38904   -0.23251
     0.40545   -0.22502
     0.42190   -0.21743
     0.43838   -0.20976
     0.45488   -0.20203
     0.47142   -0.19425
     0.48797   -0.18644
     0.50455   -0.17860
     0.52115   -0.17074
     0.53777   -0.16286
     0.55440   -0.15496
     0.57105   -0.14705
     0.58771   -0.13911
     0.60439   -0.13114
     0.62107   -0.12313
     0.63776   -0.11506
     0.65446   -0.10693
     0.67117   -0.09871
     0.68788   -0.09038
     0.70459   -0.08191
     0.72131   -0.07327
     0.73803   -0.06442
     0.75474   -0.05531
     0.77146   -0.04590
     0.78817   -0.03610
     0.80487   -0.02585
     0.82157   -0.01504
     0.83826   -0.00354
     0.85494    0.00879
     0.87159    0.02217
     0.88820    0.03687
     0.90473    0.05326
     0.92111    0.07186
     0.93719    0.09336
     0.95271    0.11880
     0.96726    0.14959
     0.98036    0.18983
     0.99168    0.23905
     1.00000    0.41180
